timestamp,energy,hour,weekday
2026-07-09T20:00:00,4.325,20,3
2026-07-09T21:00:00,3.071,21,3
2026-07-09T22:00:00,3.133,22,3
2026-07-09T23:00:00,2.946,23,3
2026-07-10T00:00:00,2.119,0,4
2026-07-10T01:00:00,2.333,1,4
2026-07-10T02:00:00,2.284,2,4
2026-07-10T03:00:00,2.283,3,4
2026-07-10T04:00:00,2.23,4,4
2026-07-10T05:00:00,2.22,5,4
2026-07-10T06:00:00,2.866,6,4
2026-07-10T07:00:00,3.024,7,4
2026-07-10T08:00:00,2.978,8,4
2026-07-10T09:00:00,3.739,9,4
2026-07-10T10:00:00,3.733,10,4
2026-07-10T11:00:00,3.77,11,4
2026-07-10T12:00:00,3.933,12,4
2026-07-10T13:00:00,4.438,13,4
2026-07-10T14:00:00,4.237,14,4
2026-07-10T15:00:00,4.295,15,4
2026-07-10T16:00:00,4.128,16,4
2026-07-10T17:00:00,5.005,17,4
2026-07-10T18:00:00,4.9,18,4
2026-07-10T19:00:00,4.554,19,4
2026-07-10T20:00:00,4.6,20,4
2026-07-10T21:00:00,3.371,21,4
2026-07-10T22:00:00,3.142,22,4
2026-07-10T23:00:00,3.118,23,4
2026-07-11T00:00:00,2.299,0,5
2026-07-11T01:00:00,1.875,1,5
2026-07-11T02:00:00,1.835,2,5
2026-07-11T03:00:00,2.031,3,5
2026-07-11T04:00:00,1.783,4,5
2026-07-11T05:00:00,1.951,5,5
2026-07-11T06:00:00,2.656,6,5
2026-07-11T07:00:00,2.769,7,5
2026-07-11T08:00:00,2.858,8,5
2026-07-11T09:00:00,3.062,9,5
2026-07-11T10:00:00,3.261,10,5
2026-07-11T11:00:00,3.306,11,5
2026-07-11T12:00:00,3.265,12,5
2026-07-11T13:00:00,3.492,13,5
2026-07-11T14:00:00,3.471,14,5
2026-07-11T15:00:00,3.637,15,5
2026-07-11T16:00:00,3.52,16,5
2026-07-11T17:00:00,4.162,17,5
2026-07-11T18:00:00,4.201,18,5
2026-07-11T19:00:00,3.732,19,5
2026-07-11T20:00:00,3.899,20,5
